,acctnum,gender,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,reference,art,geog,buyer,training
0,10001,M,NY,10605,106,49,29,109,248,357,10,3,2,2,0,1,0,2,no,1
1,10002,M,NY,10960,109,39,27,35,103,138,3,0,1,0,1,0,0,1,no,1
2,10003,F,PA,19146,191,19,15,25,147,172,2,0,0,2,0,0,0,0,no,0
3,10004,F,NJ,7016,701,7,7,15,257,272,1,0,0,0,0,1,0,0,no,0
4,10005,F,NY,10804,108,15,15,15,134,149,1,0,0,1,0,0,0,0,no,1
5,10006,F,NY,11366,113,7,7,15,98,113,1,0,1,0,0,0,0,0,yes,0
6,10007,M,CT,6460,646,25,25,15,0,15,1,0,0,0,1,0,0,0,no,1
7,10008,M,NJ,8402,840,41,1,124,114,238,11,2,1,2,3,0,0,3,no,1
8,10009,F,NJ,7452,745,65,5,130,288,418,11,0,2,3,2,0,3,1,yes,1
9,10010,F,NJ,8027,802,11,11,15,108,123,1,0,1,0,0,0,0,0,no,1
10,10011,F,NJ,8873,887,7,5,25,269,294,2,0,1,1,0,0,0,0,no,1
11,10012,F,NJ,8620,862,15,13,27,146,173,2,0,1,0,0,1,0,0,no,1
12,10013,F,MA,1040,104,13,13,15,211,226,1,0,0,0,1,0,0,0,no,1
13,10014,M,NJ,8721,872,17,5,37,251,288,3,0,0,2,0,1,0,0,no,1
14,10015,F,NY,12590,125,25,25,15,0,15,1,0,0,1,0,0,0,0,no,1
15,10016,F,NJ,7083,708,5,1,23,111,134,2,2,0,0,0,0,0,0,no,0
16,10017,F,PA,18929,189,19,7,39,137,176,3,0,0,2,0,0,0,1,no,1
17,10018,M,CT,6902,690,33,7,147,300,447,12,4,0,6,0,0,2,0,no,1
18,10019,F,NJ,8759,875,17,11,26,181,207,2,0,0,1,1,0,0,0,no,1
19,10020,F,NH,3458,345,13,11,25,276,301,2,0,1,1,0,0,0,0,no,1
20,10021,M,NY,10023,100,15,9,25,177,202,2,0,1,1,0,0,0,0,no,1
21,10022,F,NJ,7921,792,15,15,15,72,87,1,0,0,0,0,1,0,0,no,1
22,10023,M,NJ,7666,766,55,23,101,287,388,9,2,0,3,1,1,1,1,no,1
23,10024,F,NY,11024,110,5,1,29,85,114,2,0,0,0,0,0,1,1,no,0
24,10025,F,PA,19020,190,21,13,25,272,297,2,0,1,1,0,0,0,0,no,1
25,10026,F,NY,11429,114,15,15,15,14,29,1,1,0,0,0,0,0,0,no,1
26,10027,M,MD,21037,210,25,11,82,243,325,7,1,0,2,2,0,1,1,no,1
27,10028,F,MD,21133,211,67,13,137,74,211,12,2,0,6,1,1,0,2,no,0
28,10029,M,NY,11373,113,9,7,28,100,128,2,0,1,0,0,0,1,0,no,1
29,10030,F,PA,19382,193,13,13,15,225,240,1,1,0,0,0,0,0,0,no,0
30,10031,M,DE,19971,199,61,27,137,66,203,12,3,0,3,4,0,0,2,no,1
31,10032,F,NY,11374,113,59,7,109,186,295,9,2,0,1,0,1,1,4,no,0
32,10033,F,NY,11558,115,15,15,15,239,254,1,1,0,0,0,0,0,0,no,0
33,10034,F,NY,10573,105,27,3,95,255,350,9,3,0,4,0,0,2,0,no,1
34,10035,F,PA,15235,152,19,13,29,103,132,2,0,0,0,0,0,1,1,no,1
35,10036,F,PA,16506,165,9,9,15,56,71,1,0,0,0,1,0,0,0,no,1
36,10037,F,VI,841,841,7,7,15,40,55,1,0,0,0,0,0,0,1,no,1
37,10038,M,MD,21087,210,13,13,15,131,146,1,0,0,0,1,0,0,0,no,1
38,10039,F,NY,14020,140,21,21,15,175,190,1,0,0,1,0,0,0,0,no,0
39,10040,F,NJ,7208,720,9,9,15,108,123,1,1,0,0,0,0,0,0,no,1
40,10041,M,NJ,7740,774,31,17,70,266,336,6,2,0,1,1,0,2,0,yes,0
41,10042,F,NJ,7105,710,13,11,25,221,246,2,1,0,1,0,0,0,0,no,1
42,10043,F,MA,2791,279,45,1,128,132,260,11,1,2,3,1,0,1,3,no,1
43,10044,F,NY,14004,140,37,13,101,37,138,9,1,1,3,2,0,1,1,no,0
44,10045,F,NY,12438,124,33,33,15,37,52,1,0,0,1,0,0,0,0,no,1
45,10046,F,NH,3840,384,55,21,78,60,138,7,2,1,2,0,1,0,1,no,0
46,10047,F,NY,12866,128,1,1,15,213,228,1,0,1,0,0,0,0,0,no,1
47,10048,M,MA,2194,219,83,29,126,321,447,11,3,0,2,2,0,3,1,no,0
48,10049,F,CT,6033,603,19,11,26,122,148,2,1,0,0,1,0,0,0,no,1
49,10050,F,MD,21209,212,31,13,46,295,341,4,1,2,0,0,0,0,1,no,1
50,10051,F,NY,11530,115,9,9,15,242,257,1,0,0,1,0,0,0,0,no,0
51,10052,F,NY,10471,104,23,21,23,79,102,2,2,0,0,0,0,0,0,no,1
52,10053,M,NY,11762,117,45,13,63,135,198,6,2,1,2,1,0,0,0,no,0
53,10054,F,NJ,7481,748,19,17,27,237,264,2,0,0,1,0,1,0,0,no,1
54,10055,F,NY,14217,142,77,5,137,49,186,12,2,1,3,0,1,1,4,yes,1
55,10056,M,NY,10308,103,49,9,89,56,145,8,1,1,4,0,0,1,1,no,1
56,10057,F,CT,6320,632,5,5,15,196,211,1,0,0,1,0,0,0,0,no,1
57,10058,M,MA,2324,232,31,3,59,230,289,5,1,1,1,1,0,0,1,no,0
58,10059,F,NJ,7044,704,9,5,29,68,97,2,0,0,1,0,0,0,1,no,1
59,10060,F,NJ,8701,870,11,5,25,120,145,2,1,0,1,0,0,0,0,no,1
60,10061,F,PA,19464,194,15,15,15,175,190,1,0,0,0,0,0,0,1,no,1
61,10062,F,NY,11788,117,13,13,15,239,254,1,0,0,0,0,0,1,0,no,0
62,10063,M,CT,6810,681,43,13,67,118,185,6,1,0,3,1,0,1,0,no,1
63,10064,F,PA,19146,191,5,1,29,114,143,2,0,1,0,0,0,0,1,no,1
64,10065,M,DE,19901,199,13,9,29,153,182,2,1,0,0,0,0,0,1,no,1
65,10066,M,NJ,7746,774,17,7,39,84,123,3,0,0,1,0,0,0,2,no,0
66,10067,F,NY,14207,142,11,11,15,175,190,1,0,0,0,0,0,1,0,no,1
67,10068,M,NJ,7506,750,63,9,128,123,251,12,4,2,1,2,1,1,1,no,1
68,10069,M,NJ,7006,700,67,27,117,204,321,10,3,0,1,2,0,2,2,no,1
